"id","car_id","sort_in_car","title","author_id","is_lost","text_range","incipit","additional_source","is_author_insecure","first_page_id"
"TX_A0001_000123","TR_A_0001","123","Ps 122 (Ad te leuaui oculos meos)","","0","306r–307r","","","0","22_122_Ps122Adteleuauioculosmeos_622_Bl306r"
"TX_A0001_000124","TR_A_0001","124","Ps 123 (Nisi quia dominus erat in nobis)","","0","307r–308r","","","0","22_123_Ps123Nisiquiadominuseratinnobis_624_Bl307r"
"TX_A0001_000125","TR_A_0001","125","Ps 124 (Qvi confidunt in domino)","","0","308r–309r","","","0","22_124_Ps124Qviconfiduntindomino_626_Bl308r"
"TX_A0001_000126","TR_A_0001","126","Ps 125 (In conuertendo dominus captiuitatem syon)","","0","309r–309v","","","0","22_125_Ps125Inconuertendodominuscaptiuitatemsyon_628_Bl309r"
"TX_A0001_000127","TR_A_0001","127","Ps 126 (Nisi dominus edificauerit domum)","","0","310r–310v","","","0","22_126_Ps126Nisidominusedificaueritdomum_630_Bl310r"
"TX_A0001_000128","TR_A_0001","128","Ps 127 (Beati omnes qui timent dominum)","","0","311r–311v","","","0","22_127_Ps127Beatiomnesquitimentdominum_632_Bl311r"
"TX_A0001_000129","TR_A_0001","129","Ps 128 (Sepe expungnauerunt me a iuuentute)","","0","312r–313r","","","0","22_128_Ps128Sepeexpungnaueruntmeaiuuentute_634_Bl312r"
"TX_A0001_000130","TR_A_0001","130","Ps 129 (De profundis clamaui ad te domine)","","0","313r–314r","","","0","22_129_Ps129Deprofundisclamauiadtedomine_636_Bl313r"
"TX_A0001_000131","TR_A_0001","131","Ps 130 (Domine non est exaltatum cor meum)","","0","314r–314v","","","0","22_130_Ps130Dominenonestexaltatumcormeum_638_Bl314r"
"TX_A0001_000132","TR_A_0001","132","Ps 131 (Memento domine dauid)","","0","315r–317r","","","0","22_131_Ps131Mementodominedauid_640_Bl315r"
"TX_A0001_000133","TR_A_0001","133","Ps 132 (Ecce quam bonum et quam iocundum)","","0","317v–318r","","","0","22_132_Ps132Eccequambonumetquamiocundum_645_Bl317v"
"TX_A0001_000134","TR_A_0001","134","Ps 133 (Ecce nunc benedicite Dominum)","","0","318r–318v","","","0","22_133_Ps133EccenuncbenediciteDominum_646_Bl318r"
"TX_A0001_000135","TR_A_0001","135","Ps 134 (Laudate nomen domini)","","0","318v–321r","","","0","22_134_Ps134Laudatenomendomini_647_Bl318v"
"TX_A0001_000136","TR_A_0001","136","Ps 135 (Confitemini domino quoniam bonus)","","0","321v–323v","","","0","22_135_Ps135Confiteminidominoquoniambonus_653_Bl321v"
"TX_A0001_000137","TR_A_0001","137","Ps 136 (Super flumina babilonis illic sedimus)","","0","323v–325r","","","0","22_136_Ps136Superfluminababilonisillicsedimus_657_Bl323v"
"TX_A0001_000138","TR_A_0001","138","Ps 137 (Confitebor tibi domine)","","0","325r–326r","","","0","22_137_Ps137Confitebortibidomine_660_Bl325r"
"TX_A0001_000139","TR_A_0001","139","Ps 138 (Domine probasti me)","","0","326v–329v","","","0","22_138_Ps138Domineprobastime_663_Bl326v"
"TX_A0001_000140","TR_A_0001","140","Ps 139 (Eripe me domine ab homine malo)","","0","329v–331v","","","0","22_139_Ps139Eripemedomineabhominemalo_669_Bl329v"
"TX_A0001_000141","TR_A_0001","141","Ps 140 (Domine clamaui ad te)","","0","331v–333r","","","0","22_140_Ps140Domineclamauiadte_673_Bl331v"
"TX_A0001_000142","TR_A_0001","142","Ps 141 (Uoce mea ad domin[um] clamaui)","","0","333r–334v","","","0","22_141_Ps141Uocemeaaddominumclamaui_676_Bl333r"
"TX_A0001_000143","TR_A_0001","143","Ps 142 (Domine erandi orationem meam)","","0","334v–336v","","","0","22_142_Ps142Domineerandiorationemmeam_679_Bl334v"
"TX_A0001_000144","TR_A_0001","144","Ps 143 (Benedictus dominus deus meus)","","0","336v–339r","","","0","22_143_Ps143Benedictusdominusdeusmeus_683_Bl336v"
"TX_A0001_000145","TR_A_0001","145","Ps 144 (Exaltabo te deus meus)","","0","339r–341v","","","0","22_144_Ps144Exaltabotedeusmeus_688_Bl339r"
"TX_A0001_000146","TR_A_0001","146","Ps 145 (Lauda anima mea dominum)","","0","341v–343r","","","0","22_145_Ps145Laudaanimameadominum_693_Bl341v"
"TX_A0001_000147","TR_A_0001","147","Ps 146 (Laudate dominum quoniam bonus est Psus)","","0","343r–344v","","","0","22_146_Ps146LaudatedominumquoniambonusestPsus_696_Bl343r"
"TX_A0001_000148","TR_A_0001","148","Ps 147 (Lauda ih[e]r[usa]lem dominum)","","0","344v–346r","","","0","22_147_Ps147Laudaiherusalemdominum_699_Bl344v"
"TX_A0001_000149","TR_A_0001","149","Ps 148 (Laudate dominum de celis)","","0","346r–348r","","","0","22_148_Ps148Laudatedominumdecelis_702_Bl346r"
"TX_A0001_000150","TR_A_0001","150","Ps 149 (Cantate domino canticum nouum)","","0","348r–349r","","","0","22_149_Ps149Cantatedominocanticumnouum_706_Bl348r"
"TX_A0001_000151","TR_A_0001","151","Ps 150 (Laudate dominum in sanctis eius)","","0","349r–350r","","","0","22_150_Ps150Laudatedominuminsanctiseius_708_Bl349r"
"TX_A0001_000152","TR_A_0001","152","Epilogus sine recapitulacio psalterij","","0","350r–350v","","","0","22_151_Epilogussinerecapitulaciopsalterij_710_Bl350r"
"TX_A0001_000153","TR_A_0001","153","Cantica et orationes cum glossis (Supplementum psalterii)","","0","351r–387r","","","0","22_152_Is12Confitebortibidomine_712_Bl351r"
"TX_A0001_000154","TR_A_0001","154","Is 12 (Confitebor tibi domine)","","0","351r–352r","","","0","22_152_Is12Confitebortibidomine_712_Bl351r"
"TX_A0001_000155","TR_A_0001","155","Is 38,10–20 (Ego dixi in dimidio dierum meorum)","","0","352r–354v","","","0","22_153_Is3810–20Egodixiindimidiodierummeorum_714_Bl352r"
"TX_A0001_000156","TR_A_0001","156","I Sm, 2,1–10 (Exultauit cor meum in domino)","","0","354v–357r","","","0","22_154_ISm21–10Exultauitcormeumindomino_719_Bl354v"
"TX_A0001_000157","TR_A_0001","157","Ex 15,1–19 (Cantemus domino gloriose)","","0","357r–360v","","","0","22_155_Ex151–19Cantemusdominogloriose_724_Bl357r"
"TX_A0001_000158","TR_A_0001","158","Hab 3,2–19 (Domine audiui audicionem tuam)","","0","360v–364v","","","0","22_156_Hab32–19Domineaudiuiaudicionemtuam_731_Bl360v"
