"id","car_id","benennung","source"
"BG_0116","TR_X_0051","Tabula decretalium codex fuscus","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 168v"
"BG_0117","TR_X_0051","Tabula decretalium et aliae tabulae codex fuscus","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 14ra"
"BG_0118","TR_X_0052","Liber citrinus epistolarum poeticalium","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 29v"
"BG_0119","TR_X_0052","Codex arcus modus citrinus epistolarum","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 1r"
"BG_0120","TR_X_0053","Codex fuscus fibulatus Moralium Gregorii et Questionum Senece","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 135v"
"BG_0121","TR_X_0054","Codex niger textus modus Controversiae de nobilitate Scipionis et Gaii Flaminei","Wolfenbüttel, HAB, Cod. Guelf. 69.11 Aug. 2°, Bl. 130rb"
"BG_0122","TR_X_0055","Discipulus De sanctis","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 139r"
"BG_0123","TR_X_0056","Sedulius","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 17v"
"BG_0124","TR_X_0057","Tractatus de Turco","München, Bayerische Staatsbibliothek, Clm 17834, Bl. 13va"
"BG_0125","TR_X_0058","Codex russus sine asseribus textus modus","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 288r"
"BG_0126","TR_X_0059","Codex textus modus de metris","Wolfenbüttel, HAB, Cod. Guelf. 69.11 Aug. 2°, Bl. 253rb"
"BG_0127","TR_X_0060","Pharetra contra iudeos libellus parvus russus","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 379rb"
"BG_0128","TR_X_0061","Jordanus Sermones pars aestivalis","München, Bayerische Staatsbibliothek, Clm 3561, Bl. 37r"
"BG_0129","TR_X_0062","Anticlaudianus Alani de Antiruffino","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 91v"
"BG_0130","TR_X_0063","Ethicus philosophus in sua Cosmographia","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13v"
"BG_0131","TR_X_0064","Spissus libellus huius quantitatis [= textus modus] scale claustralium","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 15r [alt 12r]"
"BG_0132","TR_X_0065","Symon de Cassia Super totum corpus evangelii","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 43v"
"BG_0133","TR_X_0066","Josephus Antiquitates","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276, Bl. 248r"
"BG_0134","TR_X_0067","[Codex] russus Alexandri","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 174v"
"BG_0135","TR_X_0067","Historia Alexandri","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 297vb"
"BG_0136","TR_X_0068","Liber de missa liber albus spissus textus modus in asseribus","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 12r"
"BG_0137","TR_X_0069","Occultus","Augsburg, Staats- und Stadtbibliothek, 2° Cod. 217, Bl. 175v"
"BG_0138","TR_X_0070","Summa Reimundi metrica","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 7ar"
"BG_0139","TR_X_0070","Albus codex huius quantitatis [= textus modus] in asseribus Summe Reimundi","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 2v"
"BG_0140","TR_X_0071","Tractatus quod bene omnia fecit codex tenuis sine asseribus","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 45rb"
"BG_0141","TR_X_0071","Albus codex ubi Tractatus de bene","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 6r"
"BG_0142","TR_X_0072","Doligamus","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 103r"
"BG_0143","TR_X_0073","Liber Horologii sapientiae","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 14ar"
"BG_0144","TR_X_0073","Liber russus Ligni vitae Horilogii sapientiae et theologicae veritatis","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 55v"
"BG_0145","TR_X_0074","Senensis Elegantiae","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 279v"
"BG_0146","TR_X_0075","Gregorius in Omelia","München, Bayerische Staatsbibliothek, Clm 17831, Bl. 292va"
"BG_0147","TR_X_0076","Interrogatorium confessionale Bartholomaei de Chaimis codex textus modus albus","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 2v"
"BG_0148","TR_X_0077","Codex russus Physiologi","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 14bv"
"BG_0149","TR_X_0077","Codex russus huius quantitatis [= arcus modus]","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 42r [alt 29r]"
"BG_0150","TR_X_0078","Ludus scachorum liber flavius (sic!)","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 314r"
"BG_0151","TR_X_0079","Jordanus Sermones pars hiemalis","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 16r"
"BG_0152","TR_X_0080","Absolutio presbyterorum codex russus huius quantitatis [= arcus modus]","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 3rb"
"BG_0153","TR_X_0081","Gerson in lectione","München, Bayerische Staatsbibliothek, Clm 3561, Bl. 110v"
"BG_0154","TR_X_0082","Arismetrica liber tenuis cum coopertorio pergameni","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 319r"
"BG_0155","TR_X_0083","Codex albus Scrutinii scripturarum","Augsburg, Staats- und Stadtbibliothek, 2° Cod. 217, Bl. 243r [alt 330r]"
"BG_0156","TR_X_0084","Ars de summa vitiorum libellus pergameneus","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 30v"
"BG_0157","TR_X_0085","Codex Ovidi De amore","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 1r [alt 13r]"
"BG_0158","TR_X_0086","Alanus De planctu naturae","Basel, Universitätsbibliothek, O I 10, Bl. 4r"
"BG_0159","TR_X_0087","Oculus mundi","Budapest, Széchényi-Nationalbibliothek, Codex latinus medii aevi 276, Bl. 189rb"
"BG_0160","TR_X_0088","Fasciculus temporum","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 252r"
"BG_0161","TR_X_0089","Fuscus codex Ovidi De remedio amoris","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. Ir"
"BG_0162","TR_X_0090","Franciscus Petrarca De illustribus viris","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 197r"
"BG_0163","TR_X_0091","Fortunatus in metris","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 75v"
"BG_0164","TR_X_0092","Spissus parvus libellus de Regula sancti Benedicti","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 13r"
"BG_0165","TR_X_0093","Codex albus Cronica Martini","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 144v"
"BG_0166","TR_X_0094","Opera Lulli codex russus","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 320r"
